name,superlanguage
Arabic,Semitic
Hassaniya Arabic,Arabic
Maltese,Arabic
Hebrew,Semitic
South Arabian,Semitic
Shehri,South Arabian
Jibbali,South Arabian
Mehri,South Arabian
Soqotri,South Arabian
Amharic,Semitic
Tigrinya,Semitic
Tigre,Semitic
Tigrayit,Semitic
Cushitic,Afro-Asiatic
Oromo,Cushitic
Somali,Cushitic
Afar,Cushitic
Sidamo,Cushitic
Hadiya,Cushitic
Beja,Cushitic
Hedareb,Cushitic
Iraqw,Cushitic
Omotic,Afro-Asiatic
Welaita,Omotic
Wolaytta,Omotic
Chadic,Afro-Asiatic
Hausa,Chadic
Mafa,Chadic
Amazigh,Afro-Asiatic
Tamazight,Afro-Asiatic
Berber,Amazigh
Tuareg,Amazigh
Athabascan,
Navajo,Athabascan
Algic,
Cree,Algic
Ojibwe,Algic
Siouan,
Dakota,Siouan
Iroquoian,
Cherokee,Iroquoian
Eskimo-Aleut,
Kalaallisut,Eskimo-Aleut
West Greenlandic,Eskimo-Aleut
Tunumiit,Eskimo-Aleut
East Greenlandic,Eskimo-Aleut
Inuktitut,Eskimo-Aleut
Yupik,Eskimo-Aleut
Uto-Aztecan,
Nahuatl,Uto-Aztecan
Oto-Manguean,
Mixtec,Oto-Manguean
Zapotec,Oto-Manguean
Otomi,Oto-Manguean
Mayan,
Yucatec,Mayan
Tzeltal,Mayan
Tzotzil,Mayan
Mopan,Mayan
Qeqchi,Mayan
Kiche,Mayan
Kaqchikel,Mayan
Mam,Mayan
Qanjobal,Mayan
Poqomchi,Mayan
Misumalpan,
Miskito,Misumalpan
Chibchan,
Bribri,Chibchan
Cabecar,Chibchan
Guaymi,Chibchan
Ngäbere,Chibchan
Kuna,Chibchan
Buglere,Chibchan
Chocoan,
Embera,Chocoan
Paez,
Arawakan,
Maipurean,
Garifuna,Arawakan
Wayuu,Arawakan
Guajiro,Arawakan
Ashaninka,Arawakan
Moxo,Arawakan
Wapishana,Arawakan
Cariban,
Carib,Cariban
Macushi,Cariban
Kapong,Cariban
Jivaroan,
Chicham,
Shuar,Jivaroan
Aguaruna,Jivaroan
Quechuan,
Quechua,Quechuan
Kichwa,Quechuan
Aymaran,
Aymara,Aymaran
Tupian,
Guarani,Tupian
Araucanian,
Mapuche,Araucanian
Mapudungun,Araucanian
Matacoan,
Wichi,Matacoan
Guaicuruan,
Toba,Guaicuruan
