river,country,province
Anadyr,R,Chukotka
Kamchatka,R,Kamchatka
Amur,R,Zabaykalskiy
Schilka,R,Zabaykalskiy
Ingoda,R,Zabaykalskiy
Onon,R,Zabaykalskiy
Argun,CN,Nei Mongol
Songhua,CN,Jilin
Sungacha,R,Primorskiy
Sungacha,CN,Heilongjiang
Ussuri,R,Primorskiy
Kherlen,MNG,Mongolia
Syrdarja,TJ,Sughd
Naryn,KG,Kyrgyzstan
Amudarja,AFG,Afghanistan
Amudarja,TJ,Khatlon
Vakhsh,KG,Kyrgyzstan
Pjandsh,TJ,Gorno-Badakhshan
Bartang,AFG,Afghanistan
Ili,CN,Xinjiang
Künes,CN,Xinjiang
Tekes,KZ,Almaty
Tarim-Yarkend,CN,Xizang
Tumen,KP,North Korea
Yalu,KP,North Korea
Taedong,KP,North Korea
Nakdonggang,ROK,South Korea
Namhangang,ROK,South Korea
Bukhangang,KP,North Korea
Geumgang,ROK,South Korea
Ishikari,J,Hokkaido
Shinano,J,Gumma
Tone,J,Gumma
Kitakami,J,Iwate
Yodo,J,Shiga
Kushiro,J,Hokkaido
Tamsui,RC,Taiwan
Gaoping,RC,Taiwan
Liao He,CN,Nei Mongol
Huang He,CN,Qinghai
Wei He,CN,Gansu
Huai,CN,Henan
Yangtze,CN,Qinghai
Han,CN,Shaanxi
Gan Jiang,CN,Jiangxi
Xiang Jiang,CN,Guangxi
Yuan Jiang,CN,Guizhou
Pearl River,CN,Guangdong
Dong Jiang,CN,Guangdong
Bei Jiang,CN,Guangdong
Xi Jiang,CN,Yunnan
Hong He,CN,Yunnan
Mekong,CN,Qinghai
Tonle Sap River,K,Cambodia
Mae Nam Chao Phraya,THA,Thailand
Mae Nam Ping,THA,Thailand
Mae Nam Nan,THA,Thailand
Saluen,CN,Xizang
Irawaddy,CN,Xizang
Ganges,IND,Uttarakhand
Ghaghara,CN,Xizang
Gandaki,NEP,Nepal
Kali Gandaki,NEP,Nepal
Trishuli,CN,Xizang
Koshi,NEP,Nepal
Sunkoshi,CN,Xizang
Arun,CN,Xizang
Yamuna,IND,Uttarakhand
Chambal,IND,Madhya Pradesh
Brahmaputra,CN,Xizang
Raidak,BHT,Bhutan
Jaldhaka,IND,Sikkim
Tista,IND,Sikkim
Meghna,IND,Manipur
Godavari,IND,Maharashtra
Mahanadi,IND,Chhattisgarh
Krishna,IND,Maharashtra
Narmada,IND,Madhya Pradesh
Indus,CN,Xizang
Kabul,AFG,Afghanistan
Panjnad,PK,Punjab
Satluj,CN,Xizang
Chanab,IND,Himachal Pradesh
Jhelum,IND,Jammu and Kashmir
Ravi,IND,Himachal Pradesh
Mahaweli,CL,Sri Lanka
Asahan,RI,Sumatera Utara
Batang Hari,RI,Sumatera Barat
Solo,RI,Jawa Tengah
Rajang,MAL,Sarawak
Kapuas,RI,Kalimantan Barat
Mahakam,RI,Kalimantan Utara
Barito,RI,Kalimantan Selatan
Pansipit River,RP,Calabarzon
Pasig River,RP,Metro Manila
Agus River,RP,Muslim Mindanao
Mamberano,RI,Papua
Digul,RI,Papua
Sepik,PNG,North
Fly River,PNG,South
Ruggles River,CDN,Nunavut
Koukdjuak River,CDN,Nunavut
Yukon River,CDN,Yukon
Newhalen River,USA,Alaska
Kvichak River,USA,Alaska
Fraser River,CDN,British Columbia
Mackenzie River,CDN,Northwest Territories
Great Bear River,CDN,Northwest Territories
Slave River,CDN,Alberta
Athabasca River,CDN,Alberta
Peace River,CDN,British Columbia
Liard River,CDN,Yukon
Nelson River,CDN,Manitoba
Saskatchewan River,CDN,Saskatchewan
North Saskatchewan River,CDN,Alberta
South Saskatchewan River,CDN,Alberta
Red River of the North,USA,Minnesota
Red River of the North,USA,North Dakota
Churchill River,CDN,Newfoundland and Labrador
Saint Lawrence River,CDN,Quebec
Saint Lawrence River,USA,New York
Ottawa River,CDN,Quebec
Niagara River,CDN,Ontario
Niagara River,USA,New York
Detroit River,CDN,Ontario
Detroit River,USA,Michigan
Saint Marys River,CDN,Ontario
Saint Marys River,USA,Michigan
Manitou River,CDN,Ontario
Mindemoya River,CDN,Ontario
Straits of Mackinac,USA,Michigan
Nipigon River,CDN,Ontario
Manicouagan River,CDN,Quebec
Riviere Richelieu,CDN,Quebec
Merrimack River,USA,New Hampshire
Connecticut River,USA,New Hampshire
Hudson River,USA,New York
Delaware River,USA,New York
Delaware River,USA,Pennsylvania
Susquehanna River,USA,New York
Potomac River,USA,West Virginia
Savannah River,USA,Georgia
Savannah River,USA,South Carolina
Caloosahatchee River,USA,Florida
Mississippi,USA,Minnesota
Missouri,USA,Montana
Platte River,USA,Nebraska
North Platte River,USA,Colorado
South Platte River,USA,Colorado
Arkansas,USA,Colorado
Ohio River,USA,Pennsylvania
Allegheny River,USA,Pennsylvania
Tennessee River,USA,North Carolina
Columbia River,CDN,British Columbia
Clark Fork River,USA,Montana
Chelan River,USA,Oregon
Snake River,USA,Wyoming
Salmon River,USA,Idaho
Klamath River,USA,Oregon
Sacramento River,USA,California
Feather River,USA,California
San Joaquin River,USA,California
Truckee River,USA,California
Humboldt River,USA,Nevada
Amargosa River,USA,Nevada
Bear River,USA,Utah
Jordan River,USA,Utah
Colorado,USA,Colorado
Gila River,USA,New Mexico
Green River,USA,Wyoming
Brazos River,USA,Texas
Rio Grande del Norte,USA,Colorado
Rio Lerma Santiago,MEX,"México, Estado de"
Rio Usumacinta,GCA,Guatemala
Rio Grijalva,GCA,Guatemala
Belize River,GCA,Guatemala
Rio Dulce,GCA,Guatemala
Rio Motagua,GCA,Guatemala
Rio Lempa,GCA,Guatemala
Rio Patuca,HN,El Paraíso
Rio Coco,HN,Choluteca
Rio San Juan,NIC,Nicaragua
Rio Chepo,PA,Panamá
Rio Cauto,C,Granma
Artibonito,DOM,Dominican Republic
Rio Guayas,EC,Ecuador
Rio Magdalena,CO,Huila
Rio Cauca,CO,Cauca
Rio Bogota,CO,Cundinamarca
Catatumbo,CO,Norte de Santander
Orinoco,YV,Amazonas
Arauca,CO,Boyacá
Apure,YV,Táchira
Rio Meta,CO,Cundinamarca
Rio Guaviare,CO,Guaviare
Rio Guaviare,CO,Meta
Essequibo,GUY,Guyana
Suriname,SME,Suriname
Oyapock,BR,Amapá
Amazonas,PE,Loreto
Rio Negro,CO,Guainía
Japura,CO,Valle de Cauca
Rio Putumayo,CO,Putumayo
Maranon,PE,Huánuco
Huallaga,PE,Pasco
Ucayali,PE,Junín
Urubamba,PE,Puno
Tambo,PE,Junín
Perene,PE,Junín
Ene,PE,Junín
Mantaro,PE,Junín
Apurimac,PE,Arequipa
Jurua,PE,Ucayali
Purus,PE,Ucayali
Acre,PE,Madre de Dios
Rio Madeira,BOL,Pando
Beni,BOL,Cochabamba
Rio Madre de Dios,PE,Madre de Dios
Rio Mamoré,BOL,Cochabamba
Rio Guapay,BOL,Beni
Rio Guaporé,BR,Mato Grosso
Tapajós,BR,Amazonas
Juruena,BR,Mato Grosso
Rio Teles Pires,BR,Mato Grosso
Xingu,BR,Mato Grosso
Tocantins,BR,Goiás
Araguaia,BR,Goiás
Rio Parnaiba,BR,Maranhão
Rio Sao Francisco,BR,Minas Gerais
Rio Paraiba do Sul,BR,São Paulo
Parana,BR,Mato Grosso do Sul
Parana,BR,São Paulo
Paranaiba,BR,Minas Gerais
