country,name,percentage
K,Viet/Kinh,0.1
LAO,Thai,59.7
LAO,Khmu,11
LAO,Hmong,9.2
LAO,Phouthay,3.4
LAO,Makong,2.5
LAO,Katang,2.2
LAO,Viet/Kinh,2
LAO,Dai,2.0
LAO,Akha,1.8
LAO,Hani,1
LAO,Kuy,1
LAO,Chinese,1
LAO,Mien,0.3
LAO,Lahu,0.3
LAO,Khmer,0.1
THA,Thai,52.3
THA,Lao,24.9
THA,Chinese,14
THA,Malay,4.5
THA,Khmer,2.3
THA,Karen,1.5
THA,Kuy,0.3
THA,Hmong,0.3
THA,Lahu,0.2
THA,Mon,0.2
THA,Lisu,0.1
THA,Mien,0.1
MAL,Malay,50.4
MAL,Chinese,23.7
MAL,Dayak,11
MAL,Tamil,7
MAL,Indian,1
MAL,Rohingya,0.5
BRU,Malay,65.7
BRU,Chinese,10.3
BRU,Dayak,10
SGP,Chinese,74.1
SGP,Malay,13.4
SGP,Tamil,5.0
SGP,Indian,4.2
RI,Javanese,41.7
RI,Sundanese,15.4
RI,Malay,3.7
RI,Batak,3.6
RI,Madurese,3.0
RI,Chinese,3
RI,Dayak,1.5
RI,Laani,0.2
TL,Mesticos,50
TL,Malayo-Polynesian,30
TL,Papuan,20
PNG,Enga,3
PNG,Huli,3
SOL,Melanesian,95.3
SOL,Polynesian,3.1
SOL,Micronesian,1.2
SOL,Chinese,0.1
SOL,European,0.1
VU,Melanesian,97.6
VU,French,4
VU,Euronesian,1.1
NCL,Melanesian,40
NCL,European,35
NCL,Polynesian,10
NCL,Euronesian,8.6
NCL,Indonesian,1.4
NCL,Vietnamese,0.9
AUS,European,80
AUS,Chinese,5.6
AUS,Indian,2.8
AUS,Aboriginal Australians,2.8
AUS,Filipino,1.4
AUS,Vietnamese,1.4
AUS,Maltese,0.6
CX,European,23
CX,Chinese,21.2
CX,Malay,12
CC,Malay,80
CC,European,20
NF,European,45
NF,Euronesian,45
NZ,European,56.8
NZ,Asian,8
NZ,Maori,7.4
NZ,Pacific Islander,4.6
PAL,Palauan,72.5
PAL,Filipino,16.3
PAL,Micronesian,3.4
PAL,Chinese,1.6
PAL,Vietnamese,1.6
PAL,European,0.9
MP,Filipino,35.3
MP,Chamorro,23.9
MP,Chinese,6.8
MP,Micronesian,6
MP,Polynesian,5
MP,Korean,4.2
MP,European,2
GU,Chamorro,37.3
GU,Filipino,26.3
GU,Micronesian,10
GU,European,7.1
GU,Chuukese,7
GU,Korean,2.2
GU,Palauan,1.6
GU,Chinese,1.6
GU,Japanese,1.5
FSM,Micronesian,96
FSM,Asian,1.8
FSM,Polynesian,1.6
MH,Micronesian,92.1
MH,Euronesian,5.9
NAU,Nauruan,88.9
NAU,Micronesian,2
NAU,Chinese,2
KIR,Micronesian,89.5
KIR,Micronesian-Polynesian,9.7
KIR,Polynesian,0.2
TUV,Polynesian,86.8
TUV,Micronesian-Polynesian,6.7
TUV,Micronesian,5.6
TOK,Polynesian,94
TOK,Micronesian,3
WS,Polynesian,92.6
WS,Euronesian,7
WS,European,0.4
AS,Polynesian,92.6
AS,Filipino,2.2
WF,Polynesian,99
FJI,Melanesian-Polynesian,58
FJI,Indian,37.5
TO,Polynesian-Melanesian,95
TO,Melanesian-Polynesian,1
TO,Chinese,0.3
TO,European,0.2
NU,Polynesian,88
CK,Polynesian,88
PF,Polynesian,66.5
PF,Euronesian,16.4
PF,French,11.9
PF,Chinese,4
PN,Euronesian,100
ET,Arabized Egypt,91
ET,Arab,5
ET,European,1
ET,Nubian,0.15
ET,Beja,0.1
LAR,Arabized Berber,50
LAR,Berber,25
LAR,Arab,10
LAR,Toubou,10
LAR,Tuareg,1
TN,Arabized Berber,60
TN,Arab,35
TN,Berber,2
DZ,Arabized Berber,55
DZ,Berber,30
DZ,Arab,10
DZ,Turkish,2
DZ,European,1
MA,Arab,44
MA,Berber,24
MA,Arabized Berber,21
MA,Moor/Beydan,10
WSA,Arab,
WSA,Sahrawi Berber,
RMM,Bambara,33
RMM,Fula,13
RMM,Soninke,9.8
RMM,Senufo,9.6
RMM,Mandinka,8.8
RMM,Dogon,8.7
RMM,Songhai,5.6
RMM,Bobo,2.1
RMM,Black Moor/Haratin,2
RMM,Tuareg,1.7
RMM,Bozo,1.5
RMM,Khassonke,1.3
RMM,Mossi,1
RMM,Toucouleur,1
RIM,Black Moor/Haratin,40
RIM,Moor/Beydan,30
RIM,Toucouleur,16.5
RIM,Wolof,7
RIM,Fula,5
RIM,Soninke,3
SN,Wolof,37
SN,Serer,17
SN,Fula,16
SN,Toucouleur,15
SN,Mandinka,5.6
SN,Diola,4.5
SN,Soninke,2.2
SN,Balanta,1
SN,Manjak,0.8
SN,Bambara,0.5
SN,Europeans,0.5
WAG,Mandinka,34
WAG,Fula,22.4
WAG,Wolof,12.6
WAG,Diola,10.7
WAG,Soninke,8
WAG,Serer,3.2
WAG,Manjak,1.4
WAG,Bambara,1
WAG,Hausa,0.3
GUB,Fula,28.5
GUB,Balanta,22.5
GUB,Mandinka,14.7
GUB,Manjak,11.0
GUB,Papel,9.1
GUB,Soninke,0.3
RG,Fula,33.4
RG,Mandinka,24.9
RG,Susu,21.2
RG,Kpelle,7.8
RG,Kissi,6.2
RG,Kuranko,3
RG,Loma,1.6
SLE,Mende,32.2
SLE,Temne,31.6
SLE,Limba,8.4
SLE,Kono,5.2
SLE,Kuranko,4.5
SLE,Fula,3.8
SLE,Susu,2.9
SLE,Kissi,2.5
SLE,Mandinka,2.3
SLE,Krio,1.3
LB,Kpelle,20.3
LB,Bassa,13.4
LB,Grebo,10
LB,Dan,8
LB,Mano,7.9
LB,Klao,6
LB,Gola,6
LB,Loma,5.1
LB,Kissi,4.8
LB,Vai,4
LB,Mandinka,3.2
LB,Americo-Liberians,2.5
LB,Mende,1.3
BF,Mossi,52
BF,Fula,8.4
BF,Gurma,7
BF,Bobo,4.9
BF,Gurunsi,4.6
BF,Senufo,4.5
BF,Bissa,3.7
BF,Mandinka,2
BF,Marka,1.9
BF,Tuareg,1.9
CI,Akan,42.4
CI,Senufo,16.1
CI,Mandinka,14.5
CI,Wee,11
CI,Guro,5
CI,Mossi,5
CI,Dan,4
CI,Fula,2
CI,Hausa,0.5
CI,Bissa,0.5
CI,Yoruba,0.5
CI,Lebanese,0.4
CI,French,0.2
GH,Akan,47.5
GH,Dagbon,16.6
GH,Ewe,13.9
GH,Gurma,5.7
GH,Gurunsi,4.6
GH,Bissa,4.5
GH,Fula,3.5
GH,Hausa,2
GH,Yoruba,2
GH,Mandinka,1.1
GH,Mossi,0.6
GH,Ibibio,0.5
RT,Ewe,46
RT,Gurunsi,22
RT,Gurma,9.7
RT,Yoruba,6.8
RT,Adja,3
RT,Fula,2
RT,Mossi,1
RT,Akan,1
RT,Akebu,1
BEN,Fon,38.4
BEN,Aja,15.1
BEN,Yoruba,12
BEN,Bariba,9.6
BEN,Fula,8.6
BEN,Ottamari,6.1
BEN,Gurma,1
BEN,Bissa,0.5
BEN,Hausa,0.3
BEN,French,0.1
NGR,Hausa,30
NGR,Yoruba,15.5
NGR,Igbo,15.2
NGR,Fula,6
NGR,Kanuri,4
NGR,Gbagyi,4
NGR,Tiv,2.4
NGR,Nupe,2.2
NGR,Igala,2
NGR,Ibibio,1.8
NGR,Ijo,1.8
NGR,Anaang,1.4
NGR,Arab,1.1
NGR,Ebira,1
NGR,Edo,1
NGR,Idoma,1
NGR,Berom,0.5
RN,Hausa,53.1
RN,Songhai,21.2
RN,Tuareg,9.3
RN,Fula,6.5
RN,Kanuri,4.9
RN,Toubou,1
RN,Gurma,0.4
RN,Arab,0.4
TCH,Sara,25.9
TCH,Kanuri,10
TCH,Arab,8.6
TCH,Masalit,7
TCH,Toubou,5.8
TCH,Masa,4.7
TCH,Fula,2
TCH,Hausa,1.4
TCH,Bagirmi,1.3
SUD,Arab,70
SUD,Nubian,12
SUD,Beja,10
SUD,Masalit,3
SUD,Fur,2.5
SUD,Hausa,1
SUD,Fula,0.5
SUD,Toubou,0.2
SSD,Dinka,35.8
SSD,Nuer,15.6
SSD,Shilluk,10
SSD,Bari,8
SSD,Azande,7
RCA,Gbaya,46
RCA,Banda,27
RCA,Sara,10
RCA,Yakoma,4
RCA,Mbaka,4
RCA,Arab,2.5
RCA,Azande,1.5
RCA,Hausa,0.6
CAM,Pahuin,16
CAM,Fula,14
CAM,Bamileke,10
CAM,Bamum,2.5
CAM,Basaa,2
CAM,Duala,2
CAM,Kom,1.5
CAM,Ibibio,1.4
CAM,Mafa,1
CAM,Maka,1
CAM,Gbaya,1
CAM,Arab,1
CAM,Igbo,0.5
CAM,Kanuri,0.5
CAM,Hausa,0.2
GQ,Fang,80
GQ,Bubi,15
GQ,Annobonese,1.6
GQ,Ibibio,1
G,Fang,32
G,Nzebi,12
G,Teke,10
G,Punu,10
G,Shira,3
G,Mbete,3
G,Kota,3
G,Myene,3
G,French,2
G,Hausa,1
RCB,Bakongo,45
RCB,Teke,16.9
RCB,Mboshi,13.1
RCB,Mbete,4.4
RCB,Punu,4.3
CGO,Baluba,18
CGO,Bakongo,16
CGO,Mongo,13
CGO,Banyarwanda,10
CGO,Azande,3
CGO,Lugbara,1.5
CGO,Chokwe,1.5
CGO,Gbaya,1
CGO,Lunda,1
ANG,Ovimbundu,37
ANG,Ambundu,25
ANG,Bakongo,13
ANG,Chokwe,8
ANG,Lunda,2
ANG,Mesticos,2
ANG,Ovambo,1.8
ANG,Chinese,1.6
ANG,Herero,1.5
ANG,Portuguese,0.8
NAM,Ovambo,50
NAM,Herero,12
NAM,Damara,11
NAM,Kavango,8
NAM,Coloured,8
NAM,Lozi,5
NAM,European,5
NAM,Khoisan,2
RB,Tswana,79
RB,Kalanga,11
RB,San,3.4
RB,Shona,2
RB,European,2
RB,Ndebele,1.3
RSA,Zulu,22.7
RSA,Basotho,17.0
RSA,Xhosa,16.0
RSA,European,8.9
RSA,Coloured,8.9
RSA,Tswana,8.0
RSA,Tsonga,4.5
RSA,Indian,2.6
RSA,Swazi,2.5
RSA,Chinese,0.6
LS,Basotho,99.7
SD,Swazi,90
SD,Zulu,6
SD,European,3
SD,Tsonga,1.5
MOC,Makua,40
MOC,Tsonga,21
MOC,Makonde,11
MOC,Swahili,7
MOC,Chewa,4
MOC,Shona,3
MOC,Yao,3
MOC,Portuguese,1
MOC,Indian,0.3
ZW,Shona,70
ZW,Ndebele,20
ZW,Chewa,6
ZW,Tonga,3
ZW,European,0.2
Z,Bemba,21
Z,Tonga,13.6
Z,Chewa,7.4
Z,Lozi,5.7
Z,Nsenga,5.3
Z,Tumbuka,4.4
Z,Ngoni,4.0
Z,Luba,2.3
Z,Lunda,2
Z,Chinese,0.5
Z,Indian,0.1
MW,Chewa,36.3
MW,Lomwe,18.9
MW,Yao,13.3
MW,Ngoni,10.4
MW,Tumbuka,9.2
MW,Sena,3.8
MW,Tonga,1.8
EAT,Sukuma,12
EAT,Nyamwezi,9
EAT,Haya,7
EAT,Swahili,6
EAT,Chaga,5
EAT,Luo,4.5
EAT,Gogo,4
EAT,Makonde,3.5
EAT,Maasai,3
EAT,Ha,3
EAT,Iraqw,1.6
EAT,Zigula,1.5
EAT,Yao,1.5
EAT,Mijikenda,0.2
BI,Hutu,85
BI,Tutsi,14
BI,Twa,1
RWA,Hutu,84
RWA,Tutsi,15
RWA,Twa,1
EAU,Baganda,16.3
EAU,Banyarwanda,10
EAU,Ankore,9.4
EAU,Basoga,8.7
EAU,Bakiga,7
EAU,Iteso,7
EAU,Langi,6.3
EAU,Bagisu,4.9
EAU,Acholi,4.3
EAU,Lugbara,3.2
EAU,Karamojong,1
EAU,Bari,1
EAK,Kikuyu,17.2
EAK,Luhya,13.8
EAK,Kalenjin,12.9
EAK,Luo,10.5
EAK,Kamba,10.1
EAK,Somali,6.2
EAK,Kisii,5.7
EAK,Mijikenda,5.1
EAK,Meru,5.0
EAK,Turkana,2.6
EAK,Maasai,2.2
EAK,Oromo,1.2
EAK,Arab,1
SO,Somali,85
SO,Somalian Bantu,8
SO,Barawani,2
SO,Oromo,0.8
DJI,Somali,60
DJI,Afar,35
ETH,Oromo,34.4
ETH,Amhara,27.0
ETH,Somali,6.2
ETH,Tigray,6.1
ETH,Sidama,4
ETH,Welaita,2.3
ETH,Hadiya,1.7
ETH,Afar,1.3
ETH,Nuer,0.3
ER,Tigrinya,55
ER,Tigre,30
ER,Saho,4
