country,organization,type
NZ,ASEAN,dialogue partner
CDN,ASEAN,dialogue partner
USA,ASEAN,dialogue partner
TL,ASEAN,observer
PNG,ASEAN,observer
GR,AG,member
CY,AG,member
F,AG,member
E,AG,member
CZ,AG,member
SK,AG,member
D,AG,member
H,AG,member
I,AG,member
CH,AG,member
A,AG,member
EST,AG,member
LV,AG,member
LT,AG,member
PL,AG,member
UA,AG,member
B,AG,member
L,AG,member
NL,AG,member
SLO,AG,member
HR,AG,member
BG,AG,member
RO,AG,member
DK,AG,member
IS,AG,member
IRL,AG,member
SF,AG,member
N,AG,member
S,AG,member
M,AG,member
P,AG,member
GB,AG,member
TR,AG,member
ROK,AG,member
J,AG,member
AUS,AG,member
NZ,AG,member
CDN,AG,member
USA,AG,member
MEX,AG,member
RA,AG,member
AUS,ANZUS,member
NZ,ANZUS,member
USA,ANZUS,member
EST,BA,member
LV,BA,member
LT,BA,member
GR,BIS,member
MK,BIS,member
SRB,BIS,member
F,BIS,member
E,BIS,member
CZ,BIS,member
SK,BIS,member
D,BIS,member
H,BIS,member
I,BIS,member
CH,BIS,member
A,BIS,member
EST,BIS,member
LV,BIS,member
LT,BIS,member
PL,BIS,member
R,BIS,member
B,BIS,member
L,BIS,member
NL,BIS,member
SLO,BIS,member
HR,BIS,member
BIH,BIS,member
BG,BIS,member
RO,BIS,member
DK,BIS,member
IS,BIS,member
IRL,BIS,member
SF,BIS,member
N,BIS,member
S,BIS,member
P,BIS,member
GB,BIS,member
TR,BIS,member
IL,BIS,member
SA,BIS,member
UAE,BIS,member
IND,BIS,member
CN,BIS,member
HK,BIS,member
ROK,BIS,member
J,BIS,member
RP,BIS,member
THA,BIS,member
MAL,BIS,member
SGP,BIS,member
RI,BIS,member
AUS,BIS,member
NZ,BIS,member
DZ,BIS,member
RSA,BIS,member
CDN,BIS,member
USA,BIS,member
MEX,BIS,member
CO,BIS,member
PE,BIS,member
RCH,BIS,member
RA,BIS,member
BR,BIS,member
IND,BIMSTEC,member
NEP,BIMSTEC,member
BHT,BIMSTEC,member
BD,BIMSTEC,member
MYA,BIMSTEC,member
CL,BIMSTEC,member
THA,BIMSTEC,member
B,Benelux,member
L,Benelux,member
NL,Benelux,member
AL,BSEC,member
GR,BSEC,member
SRB,BSEC,member
UA,BSEC,member
R,BSEC,member
BG,BSEC,member
RO,BSEC,member
MD,BSEC,member
ARM,BSEC,member
GE,BSEC,member
AZ,BSEC,member
TR,BSEC,member
F,BSEC,observer
CZ,BSEC,observer
SK,BSEC,observer
D,BSEC,observer
I,BSEC,observer
A,BSEC,observer
BY,BSEC,observer
PL,BSEC,observer
HR,BSEC,observer
IL,BSEC,observer
ET,BSEC,observer
TN,BSEC,observer
BZ,Caricom,member
BS,Caricom,member
