iatacode,name,country,city,province,latitude,longitude,elevation,gmtoffset
BRN,Bern Belp,CH,Bern,Bern,46.9141,7.497153,510,1
LUG,Lugano,CH,Lugano,Ticino,46.004275,8.910578,279,1
BSL,EuroAirport Basel-Mulhouse-Freiburg,CH,Basel,Basel-Stadt,47.59,7.529167,270,1
ZRH,Zurich Kloten,CH,Zürich,Zürich,47.464722,8.549167,432,1
GVA,Geneva Cointrin,CH,Genève,Genève,46.238064,6.10895,430,1
ACH,St Gallen Altenrhein,CH,Sankt Gallen,Sankt Gallen,47.485033,9.560775,398,1
DAM,Damaskus Intl,SYR,Dimashq,Dimashq,33.4115,36.5156,616,2
ALP,Aleppo Intl,SYR,Halab,Halab,36.1806,37.2242,383,2
KHH,Kaohsiung Intl,RC,Kaohsiung,Taiwan,22.577094,120.350006,9,8
TSA,Sungshan,RC,Taipei,Taiwan,25.069722,121.5525,5,8
TPE,Taoyuan Intl,RC,Taipei,Taiwan,25.077731,121.232822,32,8
DYU,Dushanbe,TJ,Dushanbe,Dushanbe,38.543333,68.825,785,5
TJU,Kulob Airport,TJ,Kulyab,Khatlon,37.981667,69.799444,699,5
LBD,Khudzhand Airport,TJ,Khujand,Sughd,40.2154,69.6947,442,5
ZNZ,Zanzibar,EAT,Zanzibar,Zanzibar,-6.222025,39.224886,16,3
JRO,Kilimanjaro Intl,EAT,Moshi,Kilimanjaro,-3.429406,37.074461,894,3
MYW,Mtwara,EAT,Mtwara,Mtwara,-10.339058,40.181781,113,3
DAR,Mwalimu Julius K Nyerere Intl,EAT,Dar es Salaam,Dar es Salaam,-6.878111,39.202625,55,3
MWZ,Mwanza,EAT,Mwanza,Mwanza,-2.444486,32.932667,1147,3
ARK,Arusha,EAT,Arusha,Arusha,-3.367794,36.633333,1387,3
DMK,Don Muang Intl,THA,Bangkok,Thailand,13.912583,100.60675,3,7
NST,Nakhon Si Thammarat,THA,Nakhon Si Thammarat,Thailand,8.539617,99.944725,4,7
USM,Samui,THA,,,9.547794,100.062272,20,7
KKC,Khon Kaen,THA,Khon Kaen,Thailand,16.466628,102.783661,204,7
BKK,Suvarnabhumi Intl,THA,Bangkok,Thailand,13.681108,100.747283,2,7
CNX,Chiang Mai Intl,THA,Chiang Mai,Thailand,18.766847,98.962644,316,7
HDY,Hat Yai Intl,THA,Songkhla,Thailand,6.933206,100.392975,27,7
HKT,Phuket Intl,THA,Phuket,Thailand,8.1132,98.316872,25,7
LFW,Gnassingbe Eyadema Intl,RT,Lomé,Togo,6.165611,1.254511,22,1
TBU,Fua Amotu Intl,TO,Nukualofa,Tonga,-21.241214,-175.149644,38,13
POS,Piarco,TT,Port-of-Spain,Trinidad and Tobago,10.595369,-61.337242,18,-4
SFA,Thyna,TN,Sfax,Tunisia,34.717953,10.690972,26,1
TUN,Carthage,TN,Tunis,Tunisia,36.851033,10.227217,7,1
AYT,Antalya,TR,Antalya,Antalya,36.898731,30.800461,54,3
EZS,Elazig,TR,Elazig,Elazığ,38.606925,39.291417,892,3
KSY,Kars Airport,TR,Kars,Kars,40.562222,43.115002,1795,3
SZF,Samsun-Carsamba Airport,TR,Samsun,Samsun,41.2545,36.5671,5,3
KYA,Konya,TR,Konya,Konya,37.979,32.561861,1031,3
ADF,Adiyaman Airport,TR,Adiyaman,Adıyaman,37.7314,38.4689,676,3
BAL,Batman,TR,Batman,Batman,37.928969,41.116583,555,3
ADA,Adana,TR,Adana,Adana,36.982166,35.280388,20,3
ADB,Adnan Menderes,TR,İzmir,İzmir,38.292392,27.156953,126,3
VAN,Van,TR,Van,Van,38.468219,43.3323,1671,3
VAS,Sivas,TR,Sivas,Sivas,39.813828,36.903497,1596,3
NAV,Kapadokya,TR,Nevsehir,Nevşehir,38.771867,34.53455,945,3
ESB,Esenboga,TR,Ankara,Ankara,40.128082,32.995083,953,3
ERZ,Erzurum,TR,Erzurum,Erzurum,39.956501,41.170166,1757,3
ERC,Erzincan,TR,Erzincan,Erzincan,39.710203,39.527003,1153,3
KCM,Kahramanmaras Airport,TR,Kahramanmaraş,Kahramanmaraş,37.539,36.9534,525,3
MLX,Erhac,TR,Malatya,Malatya,38.435347,38.091006,862,3
DIY,Diyarbakir,TR,Diyarbakir,Diyarbakır,37.893897,40.201019,686,3
ASR,Erkilet,TR,Kayseri,Kayseri,38.770386,35.495428,1056,3
