iatacode,name,country,city,province,latitude,longitude,elevation,gmtoffset
HEA,Herat,AFG,Herat,Afghanistan,34.210017,62.2283,977,5
KBL,Kabul Intl,AFG,Kabul,Afghanistan,34.565853,69.212328,1792,5
TIA,Tirana Rinas,AL,Tirana,Albania,41.414742,19.720561,38,1
TEE,Cheikh Larbi Tebessi,DZ,Tébessa,Algeria,35.431611,8.120717,811,1
BLJ,Batna Airport,DZ,Batna,Algeria,35.752106,6.308589,822,1
BJA,Soummam,DZ,Bejaïa,Algeria,36.711997,5.069922,6,1
TMR,Tamanrasset,DZ,Tamanrasset,Algeria,22.811461,5.451075,1377,1
BSK,Biskra,DZ,Biskra,Algeria,34.793289,5.738231,88,1
CZL,Mohamed Boudiaf Intl,DZ,Constantine,Algeria,36.276028,6.620386,691,1
QSF,Ain Arnat Airport,DZ,Sétif,Algeria,36.1781,5.32449,1024,1
ORN,Es Senia,DZ,Oran,Algeria,35.623858,-0.621183,90,1
GHA,Noumerat,DZ,Ghardaïa,Algeria,32.384106,3.794114,461,1
AAE,Annaba,DZ,Annaba,Algeria,36.822225,7.809167,5,1
ALG,Houari Boumediene,DZ,Algiers,Algeria,36.691014,3.215408,25,1
TLM,Zenata,DZ,Tlemcen,Algeria,35.016667,-1.45,248,1
PPG,Pago Pago Intl,AS,Pago Pago,American Samoa,-14.2794,-170.7006,10,-11
VPE,Ondjiva Pereira Airport,ANG,Ngiva,Cunene,-17.043464,15.683822,1087,1
SDD,Lubango,ANG,Lubango,Huíla,-14.924733,13.575022,1762,1
CAB,Cabinda,ANG,Cabinda,Cabinda,-5.596992,12.188353,20,1
SPP,Menongue,ANG,Menongue,Cuando Cubango,-14.657583,17.719833,1363,1
LAD,Luanda 4 De Fevereiro,ANG,Luanda,Luanda,-8.858375,13.231178,74,1
NOV,Huambo,ANG,Huambo,Huambo,-12.808878,15.760547,1703,1
AXA,Wallblake,AXA,The Valley,Anguilla,18.204834,-63.055084,39,-4
ANU,V C Bird Intl,AG,St. John's,Antigua and Barbuda,17.136749,-61.792667,19,-4
IRJ,La Rioja,RA,La Rioja,La Rioja,-29.381636,-66.795839,438,-3
JUJ,Jujuy,RA,San Salvador de Jujuy,Jujuy,-24.392778,-65.097778,920,-3
BHI,Comandante Espora,RA,Bahía Blanca,Buenos Aires,-38.724967,-62.169317,75,-3
TUC,Teniente Benjamin Matienzo,RA,San Miguel de Tucumán,Tucumán,-26.840861,-65.104944,456,-3
LUQ,San Luis,RA,San Luis,San Luis,-33.273192,-66.356422,710,-3
SDE,Santiago del Estero,RA,Santiago del Estero,Santiago de Estero,-27.765617,-64.310122,200,-3
SFN,Sauce Viejo,RA,Santa Fe,Santa Fe,-31.711666,-60.811668,17,-3
CNQ,Corrientes,RA,Corrientes,Corrientes,-27.445503,-58.761864,62,-3
NQN,Presidente Peron,RA,Neuquén,Neuquén,-38.949,-68.155711,273,-3
SLA,Salta,RA,Salta,Salta,-24.855978,-65.486169,1246,-3
AEP,Aeroparque Jorge Newbery,RA,Buenos Aires,Distrito Federal,-34.559175,-58.415606,5,-3
EZE,Ministro Pistarini,RA,Buenos Aires,Distrito Federal,-34.822222,-58.535833,20,-3
USH,Ushuaia Malvinas Argentinas,RA,Ushuaia,Tierra del Fuego,-54.843278,-68.29575,22,-3
FMA,Formosa,RA,Formosa,Formosa,-26.212722,-58.228111,59,-3
PSS,Posadas,RA,Posadas,Misiones,-27.385839,-55.970728,131,-3
ROS,Rosario,RA,Rosario,Santa Fe,-32.903611,-60.785,26,-3
RES,Resistencia,RA,Resistencia,Chaco,-27.449986,-59.056125,53,-3
RGL,Rio Gallegos,RA,Río Gallegos,Santa Cruz,-51.608875,-69.312636,19,-3
CRD,Comodoro Rivadavia,RA,Comodoro Rivadavia,Chubut,-45.785347,-67.465508,58,-3
MDQ,Mar Del Plata,RA,Mar del Plata,Buenos Aires,-37.934167,-57.573333,22,-3
MDZ,El Plumerillo,RA,Mendoza,Mendoza,-32.831717,-68.792856,704,-3
COR,Ambrosio L V Taravella,RA,Córdoba,Córdoba,-31.323619,-64.207953,489,-3
EVN,Zvartnots,ARM,Yerevan,Armenia,40.147275,44.395881,865,4
AUA,Reina Beatrix Intl,ARU,Oranjestad,Aruba,12.501389,-70.015221,18,-4
MEL,Melbourne Intl,AUS,Melbourne,Victoria,-37.673333,144.843333,132,10
SYD,Sydney Intl,AUS,Sydney,New South Wales,-33.946111,151.177222,6,10
CNS,Cairns Intl,AUS,Cairns,Queensland,-16.885833,145.755278,3,10
TSV,Townsville,AUS,Townsville,Queensland,-19.2525,146.765278,5,10
BNE,Brisbane Intl,AUS,Brisbane,Queensland,-27.384167,153.1175,4,10
CBR,Canberra,AUS,Canberra,Australia Capital Territory,-35.306944,149.195,575,10
ADL,Adelaide Intl,AUS,Adelaide,South Australia,-34.945,138.530556,6,9.5
NTL,Newcastle Airport,AUS,Newcastle,New South Wales,-32.78,151.83,9,10
DRW,Darwin Intl,AUS,Darwin,Northern Territory,-12.4083333,130.87266,31,9.5
PER,Perth Intl,AUS,Perth,Western Australia,-31.940278,115.966944,20,8
HBA,Hobart,AUS,Hobart,Tasmania,-42.836111,147.510278,4,10
SZG,Salzburg,A,Salzburg,Salzburg,47.793304,13.004333,430,1
LNZ,Linz,A,Linz,Oberösterreich,48.233219,14.187511,298,1
INN,Innsbruck,A,Innsbruck,Tirol,47.260219,11.343964,581,1
VIE,Schwechat,A,Wien,Wien,48.110278,16.569722,183,1
GRZ,Graz,A,Graz,Steiermark,46.991067,15.439628,340,1
KLU,Woerthersee International Airport,A,Klagenfurt,Kärnten,46.642514,14.337739,138,1
GYD,Heydar Aliyev,AZ,Baku,Azerbaijan,40.4675,50.046667,3,4
NAS,Lynden Pindling Intl,BS,Nassau,Bahamas,25.038958,-77.466231,5,-5
BAH,Bahrain Intl,BRN,Al Manāmah,Bahrain,26.270834,50.63361,2,3
DAC,Zia Intl,BD,Dhaka,Dhaka,23.843333,90.397781,9,6
CGP,Shah Amanat Intl,BD,Chittagong,Chittagong,22.249611,91.813286,4,6
BGI,Grantley Adams Intl,BDS,Bridgetown,Barbados,13.074603,-59.492456,52,-4
MSQ,Minsk National,BY,Minsk,Minsk City,53.882469,28.030731,204,3
ANR,Deurne,B,Antwerpen,Antwerpen,51.189444,4.460278,12,1
CRL,Brussels South,B,Charleroi,Hainaut,50.459197,4.453817,187,1
LGG,Aéroport de Liège,B,Liège,Liège,50.6375,5.4433,201,1
TNA,Jinan,CN,Jinan,Shandong,36.857214,117.215992,23,8
BRU,Brussels Natl,B,Bruxelles,Bruxelles,50.901389,4.484444,56,1
BZE,Philip S W Goldson Intl,BZ,Belize City,Belize,17.539144,-88.308203,5,-6
COO,Cadjehoun,BEN,Cotonou,Benin,6.357228,2.384353,6,1
BDA,Bermuda Intl,BM,Hamilton,Bermuda,32.364042,-64.678703,4,-4
PBH,Paro,BHT,Thimphu,Bhutan,27.403192,89.424606,2235,6
CIJ,Heroes Del Acre,BOL,Cobija,Pando,-11.040436,-68.782972,272,-4
LPB,El Alto Intl,BOL,La Paz,La Paz,-16.513339,-68.192256,4063,-4
VVI,Viru Viru Intl,BOL,Santa Cruz de la Sierra,Santa Cruz,-17.644756,-63.135364,373,-4
SRE,Juana Azurduy De Padilla,BOL,Sucre,Chuquisaca,-19.007083,-65.288747,2905,-4
TDD,Tte Av Jorge Henrich Arauz,BOL,Trinidad,Beni,-14.818739,-64.918019,155,-4
TJA,Capitan Oriel Lea Plaza,BOL,Tarija,Tarija,-21.555736,-64.701325,1855,-4
CBB,Jorge Wilsterman,BOL,Cochabamba,Cochabamba,-17.421058,-66.177114,2549,-4
SJJ,Sarajevo,BIH,Sarajevo,Federacija Bosne i Hercegovine,43.824583,18.331467,521,1
GBE,Sir Seretse Khama Intl,RB,Gaborone,Botswana,-24.555225,25.918208,1006,2
REC,Guararapes Gilberto Freyre Intl,BR,Recife,Pernambuco,-8.126794,-34.923039,10,-3
BSB,Presidente Juscelino Kubitschek,BR,Brasília,Distrito Federal,-15.8711,-47.918625,1061,-3
BVB,Boa Vista,BR,Boa Vista,Roraima,2.846311,-60.690069,84,-4
RBR,Rio Branco,BR,Rio Branco,Acre,-9.87,-67.89,193,-5
UDI,Ten Cel Av Cesar Bombonato,BR,Uberlândia,Minas Gerais,-18.882844,-48.225594,943,-3
MCZ,Zumbi Dos Palmares,BR,Maceió,Alagoas,-9.510808,-35.791678,118,-3
MCP,Macapa,BR,Macapá,Amapá,0.050664,-51.072178,17,-3
MAO,Eduardo Gomes Intl,BR,Manaus,Amazonas,-3.038611,-60.049721,80,-4
VIX,Goiabeiras,BR,Vitória,Espírito Santo,-20.258056,-40.286389,3,-3
CWB,Afonso Pena,BR,Curitiba,Paraná,-25.528475,-49.175775,911,-3
STM,Santarem,BR,Santarém,Pará,-2.422431,-54.792789,60,-3
LDB,Londrina,BR,Londrina,Paraná,-23.333625,-51.130072,569,-3
CGB,Marechal Rondon,BR,Cuiabá,Mato Grosso,-15.652931,-56.116719,188,-4
CGR,Campo Grande,BR,Campo Grande,Mato Grosso do Sul,-20.468667,-54.6725,559,-4
CGH,Congonhas,BR,São Paulo,São Paulo,-23.626692,-46.655375,802,-3
SDU,Santos Dumont,BR,Rio de Janeiro,Rio de Janeiro,-22.910461,-43.163133,3,-3
SSA,Deputado Luis Eduardo Magalhaes,BR,Salvador,Bahia,-12.910994,-38.331044,20,-3
CNF,Tancredo Neves Intl,BR,Belo Horizonte,Minas Gerais,-19.63375,-43.968856,828,-3
SLZ,Marechal Cunha Machado Intl,BR,São Luís,Maranhão,-2.585361,-44.234139,54,-3
CPQ,Amarais Airport,BR,Campinas,São Paulo,-22.8592,-47.1082,612,-3
VCP,Viracopos,BR,Campinas,São Paulo,-23.0075,-47.134444,662,-3
AJU,Santa Maria,BR,Aracaju,Sergipe,-10.984,-37.070333,7,-3
UBA,Uberaba,BR,Uberaba,Minas Gerais,-19.765,-47.964778,809,-3
BEL,Val De Cans Intl,BR,Belém,Pará,-1.37925,-48.476292,16,-3
THE,Senador Petronio Portella,BR,Teresina,Piauí,-5.059942,-42.823478,67,-3
NAT,Augusto Severo,BR,Natal,Rio Grande do Norte,-5.911417,-35.247717,52,-3
PET,Pelotas,BR,Pelotas,Rio Grande do Sul,-31.718353,-52.327689,18,-3
RAO,Leite Lopes,BR,Ribeirão Preto,São Paulo,-21.134167,-47.774189,549,-3
RVD,General Leite de Castro Airport,BR,Rio Verde,Goiás,-17.790278,-50.918333,684,-3
GVR,Governador Valadares Airport,BR,Governador Valadares,Minas Gerais,-18.8952,-41.9822,171,-3
IPN,Usiminas,BR,Ipatinga,Minas Gerais,-19.470722,-42.487583,239,-3
CXJ,Campo Dos Bugres,BR,Caxias do Sul,Rio Grande do Sul,-29.197064,-51.187536,754,-3
GIG,Galeao Antonio Carlos Jobim,BR,Rio de Janeiro,Rio de Janeiro,-22.808903,-43.243647,9,-3
FOR,Pinto Martins Intl,BR,Fortaleza,Ceará,-3.776283,-38.532556,25,-3
PLU,Pampulha Carlos Drummond De Andrade,BR,Belo Horizonte,Minas Gerais,-19.851181,-43.950628,789,-3
PVH,Governador Jorge Teixeira De Oliveira,BR,Porto Velho,Rondônia,-8.709294,-63.902281,90,-4
GYN,Santa Genoveva,BR,Goiânia,Goiás,-16.632033,-49.220686,747,-3
POA,Salgado Filho,BR,Porto Alegre,Rio Grande do Sul,-29.994428,-51.171428,3,-3
GRU,Guarulhos Gov Andre Franco Montouro,BR,São Paulo,São Paulo,-23.432075,-46.469511,750,-3
IMP,Prefeito Renato Moreira,BR,Imperatriz,Maranhão,-5.531292,-47.46005,131,-3
IOS,Ilheus,BR,Ilhéus,Bahia,-14.815964,-39.033197,5,-3
EIS,Terrance B Lettsome Intl,BVI,Road Town,British Virgin Islands,18.444834,-64.542975,5,-4
BWN,Brunei Intl,BRU,Bandar Seri Begawan,Brunei,4.9442,114.928353,22,8
BOJ,Burgas,BG,Burgas,Bulgaria,42.569583,27.515236,41,2
VAR,Varna,BG,Varna,Bulgaria,43.232072,27.825106,70,2
PDV,Plovdiv,BG,Plovdiv,Bulgaria,42.067806,24.850833,182,2
SOF,Sofia,BG,Sofia,Bulgaria,42.695194,23.406167,531,2
BOY,Bobo Dioulasso,BF,Bobo Dioulasso,Burkina Faso,11.160056,-4.330969,461,0
OUA,Ouagadougou,BF,Ouagadougou,Burkina Faso,12.353194,-1.512417,316,0
MDL,Mandalay Intl,MYA,Mandalay,Mandalay,21.702156,95.977928,91,6.5
RGN,Yangon Intl,MYA,Yangon,Yangon,16.907305,96.133222,33,6.5
BJM,Bujumbura Intl,BI,Bujumbura,Burundi,-3.324019,29.318519,787,2
PNH,Phnom Penh Intl,K,Phnom Penh,Cambodia,11.546556,104.844139,12,7
DLA,Douala,CAM,Douala,Littoral,4.006081,9.719481,10,1
NSI,Yaounde Nsimalen,CAM,Yaoundé,Centre,3.722556,11.553269,695,1
YQX,Gander Intl,CDN,Gander,Newfoundland and Labrador,48.936944,-54.568056,151,-4
YXY,Whitehorse Intl,CDN,Whitehorse,Yukon,60.709553,-135.067269,706,-8
YFB,Iqaluit,CDN,Iqaluit,Nunavut,63.75639,-68.555832,34,-5
YYT,St Johns Intl,CDN,St. John's,Newfoundland and Labrador,47.61861,-52.751945,141,-3.5
YYZ,Lester B Pearson Intl,CDN,Toronto,Ontario,43.677223,-79.630556,173,-5
YYC,Calgary Intl,CDN,Calgary,Alberta,51.113888,-114.020278,1084,-7
YYJ,Victoria Intl,CDN,Victoria,British Columbia,48.646944,-123.425833,19,-8
YXU,London,CDN,London,Ontario,43.033056,-81.151111,278,-5
YXE,Saskatoon J G Diefenbaker Intl,CDN,Saskatoon,Saskatchewan,52.170834,-106.699722,504,-6
YZF,Yellowknife,CDN,Yellowknife,Northwest Territories,62.462778,-114.440278,206,-7
YQB,Quebec Jean Lesage Intl,CDN,Quebec,Quebec,46.791111,-71.393333,74,-5
YQT,Thunder Bay,CDN,Thunder Bay,Ontario,48.371944,-89.323889,199,-5
YQR,Regina Intl,CDN,Regina,Saskatchewan,50.431944,-104.665833,577,-6
YOW,Ottawa Macdonald Cartier Intl,CDN,Ottawa,Ontario,45.3225,-75.669167,114,-5
YUL,Pierre Elliott Trudeau Intl,CDN,Montréal,Quebec,45.470556,-73.740833,36,-5
YTZ,City Centre,CDN,Toronto,Ontario,43.627499,-79.396167,77,-5
YWG,Winnipeg Intl,CDN,Winnipeg,Manitoba,49.910036,-97.239886,239,-6
YVR,Vancouver Intl,CDN,Vancouver,British Columbia,49.193889,-123.184444,4,-8
YHM,Hamilton,CDN,Hamilton,Ontario,43.173611,-79.935,238,-5
YHZ,Halifax Intl,CDN,Halifax,Nova Scotia,44.880833,-63.50861,145,-4
YEG,Edmonton Intl,CDN,Edmonton,Alberta,53.309723,-113.579722,723,-7
RAI,Praia International Airport,CV,Praia,Cape Verde,14.9245,-23.4935,70,-1
LYB,Edward Bodden Airfield,CYM,,,19.6591666667,-80.09083333,1,-5
GCM,Owen Roberts Intl,CYM,George Town,Cayman Islands,19.292778,-81.35775,2,-5
CYB,Gerrard Smith Intl,CYM,,,19.686981,-79.882789,2,-5
BGF,Bangui M Poko,RCA,Bangui,Central African Republic,4.398475,18.518786,368,1
NDJ,Ndjamena Hassan Djamous,TCH,N'Djamena,Chad,12.133689,15.034019,295,1
ANF,Cerro Moreno Intl,RCH,Antofagasta,Antofagasta,-23.444478,-70.4451,139,-4
ZAL,Pichoy,RCH,Valdivia,Ríos,-39.649956,-73.086111,18,-4
LSC,La Florida,RCH,La Serena,Coquimbo,-29.916233,-71.199522,147,-4
CPO,Copiapo,RCH,Copiapó,Atacama,-27,-70,305,-4
CCP,Carriel Sur Intl,RCH,Concepción,Bío-Bío,-36.77265,-73.063106,8,-4
ZCO,Maquehue,RCH,Temuco,Araucanía,-38.766819,-72.637097,93,-4
SCL,Arturo Merino Benitez Intl,RCH,Santiago,Santiago,-33.392975,-70.785803,474,-4
IQQ,Diego Aracena Intl,RCH,Iquique,Tarapacá,-20.535222,-70.181275,47,-4
ARI,Chacalluta,RCH,Arica,Arica y Parinacota,-18.348531,-70.338742,51,-4
PMC,El Tepual Intl,RCH,Puerto Montt,Lagos,-41.438886,-73.093953,90,-4
PUQ,Carlos Ibanez Del Campo Intl,RCH,Punta Arenas,Magallanes,-53.002642,-70.854586,42,-4
HGH,Xiaoshan,CN,Hangzhou,Zhejiang,30.229503,120.434453,7,8
XMN,Gaoqi,CN,Xiamen,Fujian,24.544036,118.127739,18,8
HLD,Dongshan,CN,Hailar,Nei Mongol,49.204997,119.825,661,8
XFN,Xiangfan Airport,CN,Xiangyang,Hubei,32.1506,112.291,,8
HAK,Meilan,CN,Haikou,Hainan,19.934856,110.458961,23,8
HET,Baita Airport,CN,Hohhot,Nei Mongol,40.851422,111.824103,1084,8
PEK,Capital Intl,CN,Beijing,Beijing,40.080111,116.584556,35,8
PVG,Pudong,CN,Shanghai,Shanghai,31.143378,121.805214,4,8
NGB,Ningbo Lishe,CN,Ningbo,Zhejiang,29.82,121.46,4,8
WXN,Wanzhou Wuqiao Airport,CN,Wanzhou,Sichuan,30.8361,108.406,567,8
WUH,Tianhe,CN,Wuhan,Hubei,30.783758,114.2081,34,8
WUX,Wuxi Airport,CN,Wuxi,Jiangsu,31.4944,120.429,5,8
FOC,Fuzhou Changle,CN,Fuzhou,Fujian,25.93,119.65,14,8
WNZ,Wenzhou Longwan Airport,CN,Wenzhou,Zhejiang,27.9122,120.852,,8
INC,Yinchuan,CN,Yinchuan,Ningxia,38.481944,106.009167,1098,8
ZUH,Zhuhai Airport,CN,Zhuhai,Guangdong,22.0064,113.376,7,8
HRB,Taiping,CN,Harbin,Heilongjiang,45.623403,126.250328,139,8
CGQ,Changchun,CN,Changchun,Jilin,43.5412,125.1201,69,8
CGO,Xinzheng,CN,Zhengzhou,Henan,34.519672,113.840889,151,8
LHW,Lanzhou Airport,CN,Lanzhou,Gansu,36.117,103.617,1948,8
SJW,Shijiazhuang Daguocun International Airport,CN,Shijiazhuang,Hebei,38.280686,114.6973,71,8
CKG,Jiangbei,CN,Chongqing,Chongqing,29.719217,106.641678,416,8
CSX,Huanghua,CN,Changsha,Hunan,28.189158,113.219633,66,8
TGO,Tongliao Airport,CN,Tongliao,Nei Mongol,43.5567,122.2,730,8
KHN,Changbei Intl,CN,Nanchang,Jiangxi,28.865,115.9,44,8
KMG,Wujiaba,CN,Kunming,Yunnan,24.992364,102.743536,1895,8
TSN,Binhai,CN,Tianjin,Tianjin,39.124353,117.346183,3,8
BAV,Baotou Airport,CN,Baotou,Nei Mongol,40.56,109.997,1013,8
NDG,Qiqihar Sanjiazi Airport,CN,Qiqihar,Heilongjiang,47.239628,123.918131,145,8
NNG,Wuxu,CN,Nanning,Guangxi,22.608267,108.172442,128,8
NKG,Lukou,CN,Nanjing,Jiangsu,31.742042,118.862025,15,8
URC,Diwopu,CN,Wulumuqi,Xinjiang,43.907106,87.474244,648,8
NTG,Nantong Airport,CN,Nantong,Jiangsu,32.0708,120.976,,8
MIG,Mianyang Airport,CN,Mianyang,Sichuan,31.4281,104.741,,8
TYN,Wusu,CN,Taiyuan,Shanxi,37.746897,112.628428,785,8
CAN,Baiyun Intl,CN,Guangzhou,Guangdong,23.392436,113.298786,15,8
LZO,Luzhou Airport,CN,Luzhou,Sichuan,28.8522,105.393,,8
LYI,Shubuling Airport,CN,Linyi,Shandong,35.0461,118.412,,8
LXA,Lhasa-Gonggar,CN,Lhasa,Xizang,29.297778,90.911944,4005,8
WEH,Weihai Airport,CN,Weihai,Shandong,37.1871,122.229,44,8
MDG,Mudanjiang,CN,Mudanjiang,Heilongjiang,44.523889,129.568889,269,8
DLC,Zhoushuizi,CN,Dalian,Liaoning,38.965667,121.5386,33,8
SYX,Phoenix International,CN,Sanya,Hainan,18.302897,109.412272,28,8
KWE,Longdongbao,CN,Guiyang,Guizhou,26.538522,106.800703,1139,8
SZX,Baoan Intl,CN,Shenzhen,Guangdong,22.639258,113.810664,4,8
CTU,Shuangliu,CN,Chengdu,Sichuan,30.578528,103.947086,495,8
YNT,Laishan,CN,Yantai,Shandong,37.401667,121.371667,18,8
YNZ,Yancheng Airport,CN,Yancheng,Jiangsu,33.3856,120.125,,8
YIH,Yichang Airport,CN,Yichang,Hubei,30.671,111.441,205,8
YBP,Yibin,CN,Yibin,Sichuan,28.800278,104.544444,305,8
XUZ,Xuzhou Guanyin Airport,CN,Xuzhou,Jiangsu,34.16,117.11,43,8
XNN,Xining Caojiabao Airport,CN,Xining,Qinghai,36.5275,102.043,2170,8
XIY,Xianyang,CN,Xian,Shaanxi,34.447119,108.751592,479,8
HFE,Luogang,CN,Hefei,Anhui,31.780019,117.298436,33,8
NNY,Nanyang Airport,CN,Nanyang,Henan,32.9808,112.615,,8
CGD,Changde Airport,CN,Changde,Hunan,28.9189,111.64,,8
KHG,Kashi,CN,Kashgar,Xinjiang,39.542922,76.019956,1381,8
KOW,Ganzhou Airport,CN,Ganzhou,Jiangxi,25.8258,114.912,,8
AKU,Aksu Airport,CN,Aksu,Xinjiang,41.2625,80.2917,1163,8
LYA,Luoyang Airport,CN,Luoyang,Henan,34.41,112.28,64,8
LYG,Lianyungang Airport,CN,Lianyungang,Jiangsu,34.55,119.25,,8
LZH,Bailian Airport,CN,Liuzhou,Guangxi,24.2075,109.391,90,8
WEF,Weifang Airport,CN,Weifang,Shandong,36.6467,119.119,,8
CIH,Changzhi Airport,CN,Changzhi,Shanxi,36.2475,113.126,,8
CIF,Chifeng Airport,CN,Chifeng,Nei Mongol,42.235,118.908,,8
DOY,Dongying Airport,CN,Dongying,Shandong,37.2716,118.2819,26,8
NAO,Nanchong Airport,CN,Nanchong,Sichuan,30.754,106.062,,8
JIU,Jiujiang Lushan Airport,CN,Jiujiang,Jiangxi,29.733,115.983,,8
ZHA,Zhanjiang Airport,CN,Zhanjiang,Guangdong,21.2144,110.358,38,8
HSN,Zhoushan Airport,CN,Zhoushan,Zhejiang,29.9342,122.362,9,8
JNZ,Jinzhou Airport,CN,Jinzhou,Liaoning,41.1014,121.062,,8
YIN,Yining Airport,CN,Yining,Xinjiang,43.9558,81.3303,666,8
KWL,Liangjiang,CN,Guilin,Guangxi,25.218106,110.039197,174,8
CZX,Changzhou,CN,Changzhou,Jiangsu,31.941667,119.711667,12,8
SWA,Jieyang Chaoshan International Airport,CN,Shantou,Guangdong,23.55,116.5,,8
DAT,Datong Airport,CN,Datong,Shanxi,40.0603,113.482,1049,8
TAO,Liuting,CN,Qingdao,Shandong,36.266108,120.374436,10,8
DDG,Dandong,CN,Dandong,Liaoning,40.0255,124.2866,9,8
SHE,Shenyang Taoxian International Airport,CN,Shenyang,Liaoning,41.3824,123.2901,60,8
SHA,Hongqiao Intl,CN,Shanghai,Shanghai,31.197875,121.336319,3,8
XCH,Christmas Island,CX,Flying Fish Cove,Christmas Island,-10.450556,105.690278,279,7
CCK,Cocos Keeling Island Airport,CC,West Island,Cocos Islands,-12.1883,96.8339,3,6.5
BOG,Eldorado Intl,CO,Bogotá,Bogotá Distrito Especial,4.701594,-74.146947,2549,-5
IBE,Perales,CO,Ibagué,Tolima,4.421608,-75.1333,914,-5
FLA,Gustavo Artunduaga Paredes,CO,Florencia,Caquetá,1.589189,-75.564372,245,-5
AXM,El Eden,CO,Armenia,Quindío,4.452775,-75.766447,1216,-5
MZL,La Nubia,CO,Manizales,Caldas,5.029597,-75.464708,2095,-5
EJA,Yariguies,CO,Barrancabermeja,Santander,7.024331,-73.8068,126,-5
CLO,Alfonso Bonilla Aragon Intl,CO,Cali,Valle de Cauca,3.543222,-76.381583,964,-5
CTG,Rafael Nunez,CO,Cartagena,Bolívar,10.442381,-75.512961,1,-5
SMR,Simon Bolivar,CO,Santa Marta,Magdalena,11.11965,-74.230647,7,-5
BAQ,Ernesto Cortissoz,CO,Barranquilla,Atlántico,10.889589,-74.780819,30,-5
PEI,Matecana,CO,Pereira,Risaralda,4.812675,-75.739519,1346,-5
CUC,Camilo Daza,CO,Cúcuta,Norte de Santander,7.927567,-72.511547,334,-5
BGA,Palonegro,CO,Bucaramanga,Santander,7.1265,-73.184778,1188,-5
ADZ,Gustavo Rojas Pinilla,CO,San Andres,"San Andrés, Providencia y Santa Catalina",12.583594,-81.711192,6,-5
EOH,Olaya Herrera,CO,Medellín,Antioquia,6.219958,-75.590519,1506,-5
HAH,Prince Said Ibrahim,COM,Moroni,Comoros,-11.533661,43.27185,28,3
PNR,Pointe Noire,RCB,Pointe-Noire,Pointe-Noire,-4.816028,11.886597,17,1
BZV,Maya Maya,RCB,Brazzaville,Brazzaville,-4.2517,15.253031,320,1
CUR,Hato,CUR,Willemstad,Curacao,12.188853,-68.959803,9,-4
FIH,Ndjili Intl,CGO,Kinshasa,Kinshasa,-4.38575,15.444569,313,1
MJM,Mbuji Mayi,CGO,Mbuji-Mayi,Kasai-Oriental,-6.121236,23.569008,677,2
FBM,Lubumbashi Intl,CGO,Lubumbashi,Haut-Katanga,-11.591333,27.530889,1309,2
RAR,Rarotonga Intl,CK,Avarua,Cook Islands,-21.202739,-159.805556,6,-10
SYQ,Tobias Bolanos International Airport,CR,San José,San José,9.957053,-84.139797,1002,-6
LIR,Daniel Oduber Quiros Intl,CR,Liberia,Guanacaste,10.593289,-85.544408,82,-6
SJO,Juan Santamaria Intl,CR,San José,San José,9.993861,-84.208806,921,-6
ABJ,Abidjan Felix Houphouet Boigny Intl,CI,Abidjan,Abidjan,5.261386,-3.926294,6,0
SPU,Split,HR,Split,Croatia,43.538944,16.297964,24,1
ZAG,Zagreb,HR,Zagreb,Croatia,45.742931,16.068778,108,1
RJK,Rijeka,HR,Rijeka,Croatia,45.216889,14.570267,85,1
ZAD,Zadar,HR,Zadar,Croatia,44.108269,15.346697,88,1
SCU,Antonio Maceo Intl,C,Santiago de Cuba,Santiago de Cuba,19.969769,-75.835414,76,-5
CMW,Ignacio Agramonte Intl,C,Camagüey,Camagüey,21.420428,-77.847433,126,-5
HOG,Frank Pais Intl,C,Holguín,Holguín,20.785589,-76.315108,110,-5
GER,Rafael Cabrera,C,Nueva Gerona,Isla de la Juventud,21.834689,-82.783819,24,-5
AKX,Aktyubinsk,KZ,Aqtobe,Aktobe,50.245833,57.206667,225,5
HAV,Jose Marti Intl,C,La Habana,La Habana,22.989153,-82.409086,64,-5
LCA,Larnaca,CY,Larnaka,Cyprus,34.875117,33.62485,2,2
ECN,Ercan International Airport,CY,Nicosia,Cyprus,35.1547,33.4961,123,2
KLV,Karlovy Vary,CZ,Karlovy Vary,Karlovarský,50.202978,12.914983,606,1
PED,Pardubice,CZ,Pardubice,Pardubický,50.013419,15.738647,226,1
PRG,Vaclav Havel Airport,CZ,Praha,Praha,50.100833,14.26,380,1
OSR,Mosnov,CZ,Ostrava,Moravskoslezský,49.696292,18.111053,257,1
BRQ,Brno-Tuřany,CZ,Brno,Jihomoravský,49.1514,16.6944,235,1
CPH,Kastrup,DK,Copenhagen,Hovedstaden,55.617917,12.655972,5,1
AAL,Aalborg,DK,Ålborg,Nordjylland,57.092789,9.849164,3,1
AAR,Aarhus,DK,Århus,Midtjylland,56.300017,10.619008,25,1
RNN,Bornholm Ronne,DK,Ronne,Hovedstaden,55.063267,14.759558,16,1
EBJ,Esbjerg,DK,Esbjerg,Syddanmark,55.525942,8.553403,30,1
JIB,Ambouli International Airport,DJI,Djibouti,Djibouti,11.5472,43.1594,15,3
DOM,Melville Hall,WD,Roseau,Dominica,15.547028,-61.3,22,-4
SDQ,Las Americas Intl,DOM,Santo Domingo,Dominican Republic,18.429664,-69.668925,18,-4
STI,Cibao Intl,DOM,Santiago,Dominican Republic,19.406092,-70.604689,172,-4
