river,country,province
Saone,F,Auvergne-Rhône-Alpes
Saone,F,Grand Est
Saone,F,Bourgogne-Franche-Comté
Doubs,F,Bourgogne-Franche-Comté
Doubs,CH,Jura
Isere,F,Auvergne-Rhône-Alpes
Durance,F,Provence-Alpes-Côte d'Azur
Mino,E,Galicia
Mino,P,Viana do Castelo
Douro,E,Castilla y León
Douro,P,Aveiro
Douro,P,Braganca
Douro,P,Guarda
Douro,P,Porto
Douro,P,Vila Real
Douro,P,Viseu
Mondego,P,Coimbra
Mondego,P,Guarda
Mondego,P,Viseu
Tejo,E,Castilla-La Mancha
Tejo,E,Extremadura
Tejo,P,Castelo Branco
Tejo,P,Lisboa
Tejo,P,Portalegre
Tejo,P,Santarem
Jarama,E,Castilla-La Mancha
Jarama,E,Madrid
Sado,P,Beja
Sado,P,Setubal
Guadiana,E,Andalucía
Guadiana,E,Castilla-La Mancha
Guadiana,E,Extremadura
Guadiana,P,Beja
Guadiana,P,Evora
Guadiana,P,Algarve
Guadiana,P,Portalegre
Guadalquivir,E,Andalucía
Genil,E,Andalucía
Segura,E,Andalucía
Segura,E,Castilla-La Mancha
Segura,E,Murcia
Segura,E,Valenciana
Júcar,E,Castilla-La Mancha
Júcar,E,Valenciana
Turia,E,Aragón
Turia,E,Castilla-La Mancha
Turia,E,Valenciana
Ebro,E,Aragón
Ebro,E,Euskadi
Ebro,E,Castilla y León
Ebro,E,Catalunya
Ebro,E,Navarra
Ebro,E,La Rioja
Segre,F,Occitanie
Segre,E,Catalunya
Valira,AND,Andorra
Valira,E,Catalunya
Po,I,Piemonte
Po,I,Lombardia
Po,I,Veneto
Po,I,Emilia-Romagna
Tresa,I,Lombardia
Tresa,CH,Ticino
Ticino,I,Piemonte
Ticino,I,Lombardia
Ticino,CH,Ticino
Moesa,CH,Graubünden
Moesa,CH,Ticino
Lambro,I,Lombardia
Dora Baltea,I,Piemonte
Dora Baltea,I,Valle d'Aosta
Tanaro,I,Piemonte
Tanaro,I,Liguria
Adda,I,Lombardia
Mera,I,Lombardia
Mera,CH,Graubünden
Mincio,I,Veneto
Etsch,I,Trentino-Alto Adige
Etsch,I,Veneto
Tevere,I,Toscana
Tevere,I,Umbria
Tevere,I,Lazio
Marta,I,Lazio
Arrone,I,Lazio
Arno,I,Toscana
Imera Meridionale,I,Sicilia
Tirso,I,Sardegna
Donau,SRB,Serbia
Donau,SK,Bratislavský
Donau,SK,Nitriansky
Donau,SK,Trnavský
Donau,D,Baden-Württemberg
Donau,D,Bayern
Donau,H,Baranya
Donau,H,Bács-Kiskun
Donau,H,Fejér
Donau,H,Győr-Moson-Sopron
Donau,H,Komárom-Esztergom
Donau,H,Pest
Donau,H,Tolna
Donau,H,Budapest
Donau,A,Wien
Donau,A,Oberösterreich
Donau,A,Niederösterreich
Donau,UA,Odeska
Donau,HR,Croatia
Donau,BG,Bulgaria
Donau,RO,Brăila
Donau,RO,Călăraşi
Donau,RO,Caraş-Severin
Donau,RO,Constanţa
Donau,RO,Dolj
Donau,RO,Galaţi
Donau,RO,Giurgiu
Donau,RO,Ialomiţa
Donau,RO,Mehedinţi
Donau,RO,Olt
Donau,RO,Teleorman
Donau,RO,Tulcea
Donau,MD,Moldova
Breg,D,Baden-Württemberg
Brigach,D,Baden-Württemberg
Iller,D,Baden-Württemberg
Iller,D,Bayern
Iller,A,Vorarlberg
Lech,D,Bayern
Lech,A,Vorarlberg
Lech,A,Tirol
Isar,D,Bayern
Isar,A,Tirol
Ammer,D,Bayern
Würm,D,Bayern
Inn,D,Bayern
Inn,CH,Graubünden
Inn,A,Oberösterreich
Inn,A,Tirol
Ilz,D,Bayern
Regen,CZ,Plzeňský
Regen,D,Bayern
Naab,CZ,Plzeňský
Naab,D,Bayern
Alz,D,Bayern
Salzach,D,Bayern
Salzach,A,Oberösterreich
Salzach,A,Salzburg
Enns,A,Oberösterreich
Enns,A,Steiermark
Enns,A,Salzburg
Enns,A,Niederösterreich
March,CZ,Jihomoravský
March,CZ,Olomoucký
March,CZ,Pardubický
March,CZ,Zlínský
March,SK,Bratislavský
March,SK,Trnavský
March,A,Niederösterreich
Thaya,CZ,Jihomoravský
Thaya,A,Niederösterreich
Svratka,CZ,Jihomoravský
Svratka,CZ,Vysočina
Svratka,CZ,Pardubický
Jihlava,CZ,Jihomoravský
Jihlava,CZ,Vysočina
Raab,H,Győr-Moson-Sopron
Raab,H,Vas
Raab,H,Veszprém
Raab,A,Burgenland
Raab,A,Steiermark
Waag,SK,Žilinský
Waag,SK,Nitriansky
Waag,SK,Trenčiansky
Waag,SK,Trnavský
Orava,SK,Žilinský
Czarna Orava,SK,Žilinský
Czarna Orava,PL,Małopolskie
Biela Orava,SK,Žilinský
Nitra,SK,Nitriansky
Nitra,SK,Trenčiansky
Hron,SK,Banskobystrický
Hron,SK,Nitriansky
Drau,H,Baranya
Drau,H,Somogy
Drau,H,Zala
Drau,I,Trentino-Alto Adige
